ZIP CODE,HUD Area Code,HUD Metro Fair Market Rent Area Name,SAFMR 0BR,SAFMR 0BR - 90% Payment Standard,SAFMR 0BR - 110% Payment Standard,SAFMR 1BR,SAFMR 1BR - 90% Payment Standard,SAFMR 1BR - 110% Payment Standard,SAFMR 2BR,SAFMR 2BR - 90% Payment Standard,SAFMR 2BR - 110% Payment Standard,SAFMR 3BR,SAFMR 3BR - 90% Payment Standard,SAFMR 3BR - 110% Payment Standard,SAFMR 4BR,SAFMR 4BR - 90% Payment Standard,SAFMR 4BR - 110% Payment Standard
"64030","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64034","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64035","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64036","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64037","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64040","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64048","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64050","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64051","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64052","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64053","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64054","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64055","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64056","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64057","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64058","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64060","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64061","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64062","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64063","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64064","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64065","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64066","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64067","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64068","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64069","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64070","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64071","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64072","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64073","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64074","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64075","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64076","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64077","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64078","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64079","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64080","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64081","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64082","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64083","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64084","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64085","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64086","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64088","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64089","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64090","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64092","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64093","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64096","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64097","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64098","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64101","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64102","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
